Area,City,Neighborhood,Transaction reference number,Date,Property classification,Property type,Number of properties,Price,Space,Price per square meter
Riyadh region,Riyadh,Laban,19824884,4/30/2023,Residential,land,1,700000,450.0,"1,556"
Riyadh region,Riyadh,eakaaz,20694335,8/20/2023,Residential,land,1,247000,300.0,823
Riyadh region,Riyadh,Nahda,19755145,4/10/2023,Residential,land,1,2421174,712.11,"3,400"
Riyadh region,Riyadh,Al-Khair,19896827,5/10/2023,Residential,land,1,700000,630.0,"1,111"
Medina region,AL Madinah, Qiblatain ,20184800,6/15/2023,Residential,house,1,483029,165.61,"2,917"
Eastern Region,Hasa,Hajar,20712390,8/22/2023,Residential,land,1,200000,390.0,513
Eastern Region,Dammam, alnuwr  ,19980789,5/21/2023,Residential,apartment,1,200000,91.01,"2,198"
Northern border region,Arar, Mubarakiya ,19715074,4/5/2023,Residential,land,1,215604,616.01,350
Riyadh region,Riyadh,ashbilya,19764018,4/11/2023,Residential,land,1,750000,351.0,"2,137"
Eastern Region,Qatif,Abu Maan,20160559,6/11/2023,Residential,land,1,340000,464.0,733
Riyadh region,Riyadh, Al-Sahab ,20968011,9/17/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Badr,20425440,7/19/2023,Residential,apartment,1,448700,148.73,"3,017"
Medina region,AL Madinah,"Al-Harra Al-Sharqiya, Harra Gereida",20311054,7/6/2023,Residential,land,1,750000,480.0,"1,563"
Makkah Region,Jeddah, alwadaa ,20675972,8/17/2023,Residential,land,1,3788686,3444.26,"1,100"
Eastern Region,Dammam, alsayf ,20204356,6/18/2023,Residential,land,1,1349046,749.47,"1,800"
Makkah Region,Makkah, Al-Fayhaa ,20221648,6/19/2023,Residential,land,1,1500000,720.0,"2,083"
Asir region,Al-Namas,Al Omar,20080789,6/1/2023,Residential,apartment,1,400000,186.47,"2,145"
Makkah Region,Jeddah, alwurud ,19819948,4/29/2023,Residential,apartment,1,910000,231.36,"3,933"
Riyadh region,Riyadh,Misfa,20946723,9/14/2023,Residential,land,1,890000,900.0,989
Riyadh region,Riyadh,alaizdihar,20936697,9/13/2023,Residential,apartment,1,700000,138.54,"5,053"
Riyadh region,Riyadh,Al-Nakhil,20204291,6/18/2023,Residential,apartment,1,1159000,131.13,"8,839"
Riyadh region,Al Kharj,Al-Afja,20968066,9/17/2023,Residential,land,1,550000,5000.0,110
Makkah Region,Al-Jamoum, Al-Nakhil ,20204431,6/18/2023,Residential,land,1,100000,477.2,210
Medina region,AL Madinah, Al-Duwaykhla ,19936634,5/16/2023,Residential,land,1,1800000,600.0,"3,000"
Makkah Region,Jeddah,Al-Hamdaniya ,20353213,7/10/2023,Residential,land,1,700000,625.0,"1,120"
Qassim region,baridah, Al-Farouq ,19934725,5/16/2023,Residential,land,1,208796,379.63,550
Hail region,Hail, Alwasayta,20576861,8/6/2023,Residential,land,1,233000,535.05,435
Riyadh region,Riyadh,Al-Khair,20656670,8/15/2023,Residential,land,1,515000,43.9,"11,731"
Riyadh region,Riyadh,Al-Khair,19984582,5/21/2023,Residential,land,1,340000,312.75,"1,087"
Makkah Region,Jeddah, alsafa ,20807983,9/3/2023,Residential,apartment,1,536085,142.19,"3,770"
Riyadh region,Riyadh,Al-Khair,19891343,5/9/2023,Residential,land,1,400000,365.94,"1,093"
Riyadh region,Riyadh,Badr,20071573,5/31/2023,Residential,land,1,472248,524.72,900
Eastern Region,Dammam, Alqusur ,20196237,6/15/2023,Residential,land,1,2062500,750.0,"2,750"
Makkah Region,Jeddah, Umm Hablin ,20814250,9/3/2023,Residential,land,1,2326014,1292.23,"1,800"
Jazan region,Jizan,Nasiriyah ,20348976,7/10/2023,Residential,land,1,250000,1001.7,250
Riyadh region,Riyadh,Al-Farouq,20300856,7/5/2023,Residential,land,1,1394251,640.0,"2,179"
Medina region,AL Madinah,Almasanie,20045758,5/30/2023,Residential,house,1,190000,60.62,"3,134"
Qassim region,baridah, Al-Tayseer ,20747896,8/27/2023,Residential,land,1,157500,375.0,420
Riyadh region,Riyadh,Al-Malqa,20971556,9/18/2023,Residential,apartment,1,1049310,144.56,"7,259"
Asir region,Abha, Mahalla,20548872,8/2/2023,Residential,land,1,400000,600.0,667
Qassim region,baridah,Al-Basateen,20632806,8/13/2023,Residential,land,1,1050000,393.37,"2,669"
Riyadh region,Riyadh,Rabieh,20737669,8/24/2023,Residential,land,1,265000,450.0,589
Qassim region,baridah, Alhadia,20798761,8/31/2023,Residential,land,1,300000,460.0,652
Medina region,AL Madinah,Ain Al Khaif,20226970,6/20/2023,Residential,land,1,800000,619.88,"1,291"
Riyadh region,Al Kharj, Montazah ,20935431,9/13/2023,Residential,land,1,3150000,2145.0,"1,469"
Riyadh region,Riyadh,Namar,20946778,9/14/2023,Residential,land,1,425000,437.5,971
Riyadh region,Riyadh,alwurud,20559586,8/3/2023,Residential,apartment,1,759000,90.76,"8,363"
Medina region,AL Madinah, Rabwa ,20730552,8/24/2023,Residential,land,1,487500,500.0,975
Eastern Region,Dammam, alsayf ,20195015,6/15/2023,Residential,land,1,4507312,1325.68,"3,400"
Qassim region,baridah, alnarjis ,20703284,8/21/2023,Residential,land,1,194250,300.0,648
Qassim region,baridah, Montazah ,20864006,9/7/2023,Residential,land,1,98000,161.06,608
Hail region,Hail, qafaar ,19984554,5/21/2023,Residential,land,1,50000,401.71,124
Eastern Region,Al-Hofuf,  Al-Faisaliah   ,20077183,6/1/2023,Residential,land,1,1200000,756.5,"1,586"
Medina region,AL Madinah, Shaibiya ,20430757,7/20/2023,Residential,apartment,1,530000,208.98,"2,536"
Qassim region,almudhanab, almudhanib ,20154359,6/9/2023,Residential,land,1,54375,375.0,145
Eastern Region,Hasa,Hajar,20877804,9/9/2023,Residential,land,1,275000,500.0,550
Najran region,Najran, aljamiea ,19900777,5/11/2023,Residential,land,1,100000,800.0,125
Riyadh region,Riyadh,Malaz,20334820,7/9/2023,Residential,land,1,1200000,532.4,"2,254"
Riyadh region,Riyadh,East of Riyadh,20038175,5/28/2023,Residential,land,1,500000,900.0,556
Riyadh region,Riyadh,alsaeada,20266238,6/22/2023,Residential,land,1,684450,312.0,"2,194"
Makkah Region,Makkah,Batha Quraish,20206906,6/19/2023,Residential,apartment,1,400000,243.35,"1,644"
Hail region,Hail,Naqra Qafar,19984559,5/21/2023,Residential,land,1,1200000,525.0,"2,286"
Jazan region,Abu Arish, Rawda ,20273806,6/22/2023,Residential,land,1,321370,459.1,700
Riyadh region,Riyadh, Al-Sahab ,20967289,9/17/2023,Residential,land,1,120900,300.0,403
Qassim region,baridah,Al-Morouj ,19769895,4/12/2023,Residential,land,1,142500,375.0,380
Eastern Region,Hafar Al-Batin, Flig ,20507712,8/1/2023,Residential,land,1,70000,400.0,175
Riyadh region,Riyadh, Al-Wisam ,20953402,9/15/2023,Residential,land,1,138672,344.1,403
Qassim region,Onaizah, Al Fakhriya ,19703215,4/4/2023,Residential,land,1,395000,521.5,757
Riyadh region,Riyadh, Arqa ,19982739,5/21/2023,Residential,land,1,3600000,600.0,"6,000"
Eastern Region,Hasa, Riyadh ,20209152,6/19/2023,Residential,land,1,300000,780.0,385
Eastern Region,Dammam, Al-Shuala ,20371369,7/12/2023,Residential,land,1,791751,604.39,"1,310"
Riyadh region,Riyadh, Al-Wisam ,20951833,9/15/2023,Residential,land,1,120900,300.0,403
Makkah Region,Makkah,Batha Quraish,20392050,7/16/2023,Residential,apartment,1,390600,118.73,"3,290"
Riyadh region,Riyadh,Al-Uraija,20208922,6/19/2023,Residential,land,1,600000,400.0,"1,500"
Asir region,Abha,almuharith walieisan,20679064,8/17/2023,Residential,land,1,936010,936.0,"1,000"
Riyadh region,Riyadh,Rabieh,20846481,9/6/2023,Residential,land,1,260000,450.0,578
Makkah Region,Jeddah, Al-Waha ,20304826,7/5/2023,Residential,apartment,1,455000,133.31,"3,413"
Riyadh region,Riyadh,Misfa,20348977,7/10/2023,Residential,land,1,400000,750.0,533
Riyadh region,Riyadh,Al-Khair,20962830,9/17/2023,Residential,land,1,395000,228.0,"1,732"
Riyadh region,Riyadh,alsaeada,20677481,8/17/2023,Residential,land,1,702000,312.0,"2,250"
Riyadh region,Riyadh,Nahda,20609298,8/9/2023,Residential,land,1,2080000,375.0,"5,547"
Makkah Region,Jeddah, Riyadh ,19985224,5/21/2023,Residential,land,1,510000,625.0,816
Riyadh region,Riyadh, Al-Wisam ,20952090,9/15/2023,Residential,land,1,120900,300.0,403
Asir region,Bisha,Bisha,20471910,7/25/2023,Residential,apartment,1,530000,172.92,"3,065"
Eastern Region,Dammam, Al-Shuala ,20392289,7/16/2023,Residential,land,1,1053954,798.45,"1,320"
Riyadh region,Riyadh, Al-Wisam ,20955118,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Andalusia,20583643,8/7/2023,Residential,land,1,1450000,450.0,"3,222"
Eastern Region,Al-Hofuf, alwurud ,20163454,6/11/2023,Residential,land,1,635000,1040.75,610
Riyadh region,Riyadh,East of Riyadh,20852708,9/6/2023,Residential,land,1,550000,900.0,611
Makkah Region,Jeddah, alwidad ,20919554,9/12/2023,Residential,land,1,300000,900.0,333
Eastern Region,Al-Hofuf, Mohandiseen ,20221678,6/19/2023,Residential,land,1,740000,875.0,846
Riyadh region,Riyadh,Tuwaiq,20824315,9/4/2023,Residential,land,1,1425000,750.0,"1,900"
Qassim region,Onaizah,King Fahd,19700356,4/4/2023,Residential,land,1,270000,787.5,343
Makkah Region,Jeddah, Al-Marwa ,20946672,9/14/2023,Residential,apartment,1,450000,129.0,"3,488"
Riyadh region,Riyadh,Jasmine,20846585,9/6/2023,Residential,apartment,1,920000,172.92,"5,320"
Makkah Region,Makkah, tayiba ,20533031,8/1/2023,Residential,land,1,600000,665.92,901
Riyadh region,Riyadh,alsuwaydaa,20018595,5/25/2023,Residential,land,1,520000,300.0,"1,733"
Riyadh region,Riyadh,Al-Khair,20399083,7/16/2023,Residential,land,1,550000,420.0,"1,310"
Eastern Region,Al-Hofuf, Al-shuruq ,20173499,6/12/2023,Residential,land,1,725000,517.5,"1,401"
Makkah Region,Jeddah, Al-Marwa ,20718045,8/24/2023,Residential,apartment,1,630000,152.53,"4,130"
Makkah Region,Jeddah, alluwlu ,20771467,8/29/2023,Residential,land,1,1050000,395.5,"2,655"
Medina region,AL Madinah,Mudhainab,20928292,9/13/2023,Residential,apartment,1,552000,133.36,"4,139"
Riyadh region,Riyadh,Misfa,20449352,7/23/2023,Residential,land,1,6920100,8388.0,825
Riyadh region,Riyadh, Al-Wisam ,20952308,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Nakhil,20181043,6/13/2023,Residential,apartment,1,1159000,130.95,"8,851"
Eastern Region,Hafar Al-Batin, Sulaymaniyah ,20472611,7/25/2023,Residential,land,1,100000,400.0,250
Riyadh region,Riyadh,Olaya,20195803,6/15/2023,Residential,apartment,1,6195150,317.7,"19,500"
Riyadh region,Riyadh,Al-Khair,20578926,8/6/2023,Residential,land,1,460000,312.5,"1,472"
Eastern Region,Qatif, Nabia ,20805103,9/2/2023,Residential,land,1,400000,424.75,942
Eastern Region,Dammam, Al-Shuala ,19891276,5/9/2023,Residential,apartment,1,630000,194.68,"3,236"
Qassim region,Onaizah, Al-Mustawdaeat ,20663366,8/16/2023,Residential,land,1,164500,940.0,175
Makkah Region,Makkah,Al-Rayyan ,19877193,5/8/2023,Residential,apartment,1,390000,142.17,"2,743"
Eastern Region,Dammam, aljamiea ,20498510,7/27/2023,Residential,apartment,1,865000,174.16,"4,967"
Riyadh region,Riyadh,Al-Khair,20854989,9/6/2023,Residential,land,1,430000,375.0,"1,147"
Makkah Region,Jeddah, Al-Fayhaa ,20105800,6/5/2023,Residential,apartment,1,800000,220.44,"3,629"
Eastern Region,Hafar Al-Batin, Al-Waha ,20054150,5/30/2023,Residential,land,1,100000,480.0,208
Asir region,ahid rafidah, El Nozha ,20075965,6/1/2023,Residential,land,1,100000,300.0,333
Makkah Region,Makkah,Sharia15 ,20187616,6/14/2023,Residential,apartment,1,412752,218.34,"1,890"
Riyadh region,Riyadh,Rabieh,20785152,8/30/2023,Residential,land,1,250000,400.0,625
Makkah Region,Jeddah, alshaati ,21038423,9/26/2023,Residential,land,1,3100000,249.75,"12,412"
Makkah Region,Taif,Al Faisaliah in Al-Hawiyal ,20651273,8/15/2023,Residential,land,1,30000,243.0,123
Riyadh region,Riyadh,Al-Yamamah,20729655,8/24/2023,Residential,apartment,1,306527,112.91,"2,715"
Riyadh region,Riyadh,Qurtuba,20693662,8/20/2023,Residential,apartment,1,1180000,165.33,"7,137"
Makkah Region,Jeddah, Al-Rayyan ,19924300,5/14/2023,Residential,apartment,1,717359,208.0,"3,449"
Asir region,Mahayil Asir,Al-Hila,19780339,4/13/2023,Residential,apartment,1,370000,152.98,"2,419"
Riyadh region,Riyadh,Al-Khair,20922383,9/12/2023,Residential,land,1,1470000,875.0,"1,680"
Asir region,Khamis Mushait, Hajla ,20576517,8/6/2023,Residential,land,1,305000,719.5,424
Makkah Region,Jeddah,Rabwa,20141070,6/8/2023,Residential,apartment,1,611039,167.06,"3,658"
Makkah Region,Jeddah, Sanabel  ,20962846,9/17/2023,Residential,land,1,1500000,793.88,"1,889"
Riyadh region,Riyadh,Tuwaiq,20749634,8/27/2023,Residential,land,1,850000,510.0,"1,667"
Al-Jawf region,Qurayyat,aldakhl almahdud aljanubaa,20006058,5/23/2023,Residential,land,1,500000,367.5,"1,361"
Asir region,ahid rafidah, AL Bareed,21069788,9/27/2023,Residential,land,1,300000,390.0,769
Riyadh region,Riyadh,alkhalij,20075835,6/1/2023,Residential,land,1,913500,350.0,"2,610"
Makkah Region,Jeddah, alzumarud ,20082175,6/1/2023,Residential,land,1,600000,299.91,"2,001"
Jazan region,Jizan, Al Rawabi ,19981144,5/21/2023,Residential,land,1,200000,599.7,334
Riyadh region,Riyadh,alrimal,20472073,7/25/2023,Residential,land,1,822924,423.5,"1,943"
Eastern Region,Qatif,Tarut,20425291,7/19/2023,Residential,land,1,614471,745.5,824
Makkah Region,Jeddah,jawharat alearus,20654577,8/15/2023,Residential,land,1,250000,894.5,279
Eastern Region,Dammam, alsayf ,20813190,9/3/2023,Residential,land,1,1111618,635.21,"1,750"
Qassim region,baridah, Al-Ghadeer  ,20046482,5/29/2023,Residential,land,1,111628,345.0,324
Riyadh region,Riyadh,Mahdia,20774954,8/29/2023,Residential,land,1,1970000,560.4,"3,515"
Riyadh region,Riyadh,Al-Khair,20499438,7/27/2023,Residential,land,1,1000000,750.0,"1,333"
Riyadh region,Riyadh,ashbilya,20131241,6/7/2023,Residential,land,1,1600000,600.0,"2,667"
Makkah Region,Jeddah, Al Naseem ,20864822,9/7/2023,Residential,apartment,1,513000,196.84,"2,606"
Riyadh region,Diriyah, Al-Easimih ,20864052,9/7/2023,Residential,land,1,536783,390.0,"1,376"
Makkah Region,Jeddah, Al-Marwa ,20576759,8/6/2023,Residential,apartment,1,430000,131.13,"3,279"
Riyadh region,Riyadh,Al-Malqa,20010828,5/24/2023,Residential,land,1,7500000,540.0,"13,889"
Riyadh region,Riyadh,Rabieh,20418455,7/18/2023,Residential,land,1,150000,447.6,335
Asir region,Mahayil Asir,Al-Hila,21010610,9/21/2023,Residential,land,1,300000,700.0,429
Riyadh region,Hotat Bani Tamim, alsalam,20321934,7/9/2023,Residential,land,1,100000,420.0,238
Qassim region,baridah, Al-Nakhil ,20189240,6/15/2023,Residential,apartment,1,325000,137.13,"2,370"
Eastern Region,Hasa, Rashidiya,20630885,8/13/2023,Residential,land,1,465000,300.0,"1,550"
Makkah Region,Jeddah, Al-Waha ,20753933,8/27/2023,Residential,apartment,1,747000,228.45,"3,270"
Eastern Region,Al-Hofuf,Hofuf,20499435,7/27/2023,Residential,land,1,450000,420.0,"1,071"
Riyadh region,Riyadh, Al-Wisam ,20954484,9/16/2023,Residential,land,1,188826,468.55,403
Makkah Region,Jeddah, alsafa ,20620952,8/10/2023,Residential,apartment,1,300000,175.09,"1,713"
Makkah Region,Jeddah, alsafa ,20713274,8/22/2023,Residential,apartment,1,780000,221.97,"3,514"
Eastern Region,Ras Tanura,Dana,19705879,4/4/2023,Residential,land,1,500000,325.22,"1,537"
Riyadh region,Riyadh,Al Naseem,20451163,7/23/2023,Residential,land,1,500000,200.0,"2,500"
Eastern Region,Al-Hofuf, alsuqur ,19891102,5/11/2023,Residential,land,1,400000,800.0,500
Makkah Region,Makkah,Batha Quraish City approved,19910486,5/11/2023,Residential,apartment,1,250000,136.93,"1,826"
Riyadh region,Riyadh, Al-Wisam ,20952180,9/15/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, Rahmaniyah ,19968165,5/18/2023,Residential,land,1,1300000,292.49,"4,445"
Northern border region,Arar, Mubarakiya ,20284068,6/25/2023,Residential,land,1,218750,625.0,350
Qassim region,Onaizah,alkhalij ,20190663,6/15/2023,Residential,land,1,100000,427.5,234
Riyadh region,Riyadh,Rahmaniyah,20256546,6/21/2023,Residential,land,1,2656250,1295.92,"2,050"
Eastern Region,Dammam, Al-Rayyan ,20674598,8/17/2023,Residential,land,1,2600000,840.0,"3,095"
Makkah Region,Makkah,Makkah Oasis,20698260,8/21/2023,Residential,apartment,1,270000,117.35,"2,301"
Riyadh region,Riyadh,Misfa,20120706,6/6/2023,Residential,land,1,300000,595.46,504
Medina region,AL Madinah,Abyar Al-Mashi,19915786,5/14/2023,Residential,land,1,310000,811.24,382
Riyadh region,Riyadh,Al-Khair,19819953,5/1/2023,Residential,land,1,750000,750.0,"1,000"
Riyadh region,Al-Muzahmiyah, Hadhar ,20203657,6/18/2023,Residential,land,1,100000,312.5,320
Riyadh region,Riyadh,Arid,20296749,7/4/2023,Residential,land,1,188000,228.0,825
Riyadh region,Riyadh, Al-Wisam ,20952370,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh, Al-Wisam ,20954765,9/16/2023,Residential,land,1,148514,368.52,403
Northern border region,Arar,ashbilih,20394080,7/16/2023,Residential,land,1,90000,540.0,167
Makkah Region,Jeddah, Rawda ,20156687,6/10/2023,Residential,apartment,1,1000000,204.26,"4,896"
Eastern Region,alkhabar,Ain Al-Sih,20474811,7/25/2023,Residential,land,1,765344,300.0,"2,551"
Eastern Region,Hasa,Al-Nakhil,19817171,4/27/2023,Residential,land,1,280000,440.0,636
Makkah Region,Jeddah,jawharat alearus,20789435,8/30/2023,Residential,land,1,480000,900.0,533
Riyadh region,Riyadh,Sultana,19829749,5/1/2023,Residential,land,1,475000,400.0,"1,188"
Tabuk region,Tabuk,Al-Morouj 1 ,20868079,9/13/2023,Residential,land,1,688371,750.0,918
Qassim region,Albadayie, Al-Rayyan ,20447651,7/23/2023,Residential,land,1,70000,662.5,106
Riyadh region,Riyadh,Badr,19891904,5/9/2023,Residential,land,1,620500,730.0,850
Qassim region,Riyadh Al-Khabara, alrabie ,20650175,8/15/2023,Residential,land,1,50000,450.2,111
Makkah Region,Jeddah,jawharat alearus,20012537,5/24/2023,Residential,land,1,700000,900.0,778
Riyadh region,Riyadh,alnarjis,19962484,5/18/2023,Residential,land,1,1820000,350.0,"5,200"
Makkah Region,Taif, Alsiri,20074683,6/1/2023,Residential,land,1,232400,560.0,415
Riyadh region,Riyadh,Arid,19850913,5/7/2023,Residential,land,1,342000,462.0,740
Asir region,Abha,almuharith walieisan,20143009,6/8/2023,Residential,land,1,714840,595.7,"1,200"
Makkah Region,Makkah, Al-Nakhil 2 ,21014700,9/21/2023,Residential,land,1,1140000,600.0,"1,900"
Riyadh region,Riyadh,Laban,20718751,8/23/2023,Residential,apartment,1,629000,191.34,"3,287"
Riyadh region,Riyadh,Al-Khair,20201390,6/18/2023,Residential,land,1,450000,372.0,"1,210"
Jazan region,Jizan, Al Rawabi ,20057267,5/30/2023,Residential,land,1,518678,691.57,750
Northern border region,Arar, Mansourieh  ,20118965,6/6/2023,Residential,apartment,1,339851,201.22,"1,689"
Makkah Region,Makkah, Al-Fayhaa ,20544086,8/2/2023,Residential,land,1,1150000,736.25,"1,562"
Riyadh region,Riyadh,Nahda,20635782,8/13/2023,Residential,land,1,2380000,850.0,"2,800"
Riyadh region,Riyadh,Al-Malqa,20204246,6/18/2023,Residential,apartment,1,999000,130.88,"7,633"
Makkah Region,Jeddah,Rabwa,20677798,8/17/2023,Residential,land,1,1800000,675.0,"2,667"
Medina region,almahd,Al-mahd,19888411,5/9/2023,Residential,land,1,205000,412.95,496
Qassim region,Onaizah, Sulaymaniyah ,19726715,4/6/2023,Residential,land,1,100000,506.7,197
Asir region,Abha, Mahalla,20643299,8/14/2023,Residential,land,1,330000,336.0,982
Riyadh region,Riyadh,alaizdihar,20039202,5/28/2023,Residential,land,1,3500000,311.85,"11,223"
Makkah Region,Jeddah, Al-Rayyan ,20665088,8/16/2023,Residential,apartment,1,324000,145.61,"2,225"
Qassim region,baridah, Al-Tayseer ,20450149,7/25/2023,Residential,land,1,314160,840.0,374
Jazan region,Jizan, Muhammadiyah ,20904726,9/11/2023,Residential,apartment,1,580000,205.5,"2,822"
Makkah Region,Makkah,Batha Quraish,20558736,8/3/2023,Residential,apartment,1,230000,127.35,"1,806"
Qassim region,baridah, Al-shuruq ,20963789,9/17/2023,Residential,apartment,1,493183,199.67,"2,470"
Makkah Region,Jeddah,Beni Malik,19887224,5/9/2023,Residential,apartment,1,900657,217.25,"4,146"
Eastern Region,Hafar Al-Batin, Al-Shifa ,20573039,8/6/2023,Residential,land,1,100000,869.5,115
Qassim region,baridah, Al-Fayeziya ,20459610,7/24/2023,Residential,land,1,370000,560.0,661
Makkah Region,Jeddah, alwidad ,19932947,5/15/2023,Residential,land,1,200000,900.0,222
Makkah Region,Jeddah, Al-Waha ,20855543,9/6/2023,Residential,apartment,1,510000,130.3,"3,914"
Eastern Region,Hafar Al-Batin, Al Faisaliah  ,19998236,5/23/2023,Residential,land,1,158000,525.0,301
Riyadh region,Riyadh,Al-Malqa,20654969,8/15/2023,Residential,apartment,1,282399,145.75,"1,938"
Makkah Region,Jeddah,Al-Bawader ,20851899,9/6/2023,Residential,land,1,230000,450.0,511
Qassim region,baridah,alshaqa,19774001,4/13/2023,Residential,land,1,88000,220.0,400
Qassim region,baridah, Al-Batin ,20403615,7/18/2023,Residential,land,1,49500,325.0,152
Eastern Region,Hasa,Doha ,20993483,9/19/2023,Residential,land,1,350000,600.0,583
Jazan region,Jizan, almawada ,19700633,4/3/2023,Residential,land,1,550000,655.5,839
Riyadh region,Riyadh,Al-Khair,19696659,4/3/2023,Residential,land,1,500000,312.5,"1,600"
Eastern Region,Dammam, tayiba ,20271475,6/22/2023,Residential,land,1,630000,198.0,"3,182"
Asir region,Abha,Mahalla in Sultan city,20604890,8/9/2023,Residential,land,1,95000,375.0,253
Qassim region,Alrass, Almatar ,20935500,9/13/2023,Residential,land,1,150000,220.0,682
Riyadh region,Riyadh,Nahda,20432604,7/23/2023,Residential,land,1,562500,312.5,"1,800"
Makkah Region,Jeddah, Al-Rayyan ,19874908,5/8/2023,Residential,apartment,1,712994,187.63,"3,800"
Makkah Region,Jeddah, Al-Waha ,20992966,9/19/2023,Residential,apartment,1,475000,206.88,"2,296"
Northern border region,Arar, Mansourieh  ,20118754,6/6/2023,Residential,apartment,1,282650,200.6,"1,409"
Eastern Region,Qatif,Tarut,19944852,5/16/2023,Residential,land,1,800000,400.0,"2,000"
Makkah Region,Jeddah, alsafa ,20529173,7/31/2023,Residential,apartment,1,980644,188.78,"5,195"
Jazan region,Jizan, alshaati ,20205895,6/19/2023,Residential,apartment,1,478460,179.4,"2,667"
Eastern Region,Dammam, alsayf ,20164886,6/11/2023,Residential,land,1,1741418,938.77,"1,855"
Makkah Region,Taif, Rehab ,20174019,6/12/2023,Residential,land,1,140000,906.73,154
Makkah Region,Jeddah, Al-Awija ,20537703,8/1/2023,Residential,land,1,165000,450.0,367
Eastern Region,Jubail, tayiba ,20641360,8/14/2023,Residential,land,1,600000,350.0,"1,714"
Riyadh region,Riyadh,Badia,20599559,8/8/2023,Residential,apartment,1,820000,193.27,"4,243"
Eastern Region,alkhabar, althanyanih ,20353410,7/10/2023,Residential,land,1,862500,500.0,"1,725"
Riyadh region,Riyadh, Al-Wisam ,20953190,9/15/2023,Residential,land,1,120900,300.13,403
Qassim region,baridah, Al-Naqib ,20067343,5/31/2023,Residential,land,1,170000,500.0,340
Riyadh region,Riyadh,Namar,20750577,8/27/2023,Residential,land,1,400000,375.0,"1,067"
Makkah Region,Jeddah, Samer ,20313915,7/6/2023,Residential,apartment,1,250000,111.76,"2,237"
Tabuk region,Tabuk, Al-Masif,20513195,7/31/2023,Residential,apartment,1,400000,176.45,"2,267"
Makkah Region,Jeddah,Durrat Al-Arous,19800425,4/16/2023,Residential,land,1,2473353,549.8,"4,499"
Riyadh region,Riyadh,Laban,20164180,6/11/2023,Residential,land,1,1413592,375.0,"3,770"
Riyadh region,Riyadh,Jasmine,20144487,6/8/2023,Residential,land,1,3750000,375.0,"10,000"
Riyadh region,Al Kharj, Al-Ghadeer  ,20018036,5/25/2023,Residential,land,1,450000,860.48,523
Eastern Region,Hafar Al-Batin, Khalidiya ,20192331,6/15/2023,Residential,land,1,300000,322.0,932
Eastern Region,Hasa,Hajar,20166089,6/11/2023,Residential,land,1,200000,420.0,476
Riyadh region,Riyadh,King Salman,20863018,9/7/2023,Residential,apartment,1,1179000,121.63,"9,693"
Makkah Region,Jeddah, alsafa ,20390800,7/15/2023,Residential,apartment,1,380000,93.2,"4,077"
Riyadh region,Riyadh,Badr,20056664,5/30/2023,Residential,land,1,370000,400.0,925
Riyadh region,Riyadh,East of Riyadh,19707556,4/4/2023,Residential,land,1,500000,1950.0,256
Riyadh region,Riyadh,Namar,20119526,6/6/2023,Residential,land,1,440000,432.0,"1,019"
Riyadh region,Riyadh,Al-Khair,20894033,9/10/2023,Residential,land,1,1050000,792.09,"1,326"
Eastern Region,Dammam,King Fahd,20593540,8/8/2023,Residential,apartment,1,469577,160.01,"2,935"
Hail region,Hail, almadayin ,20314147,7/6/2023,Residential,land,1,93000,330.87,281
Riyadh region,Riyadh,Granada,21062617,9/27/2023,Residential,land,1,1000000,300.0,"3,333"
Riyadh region,Riyadh, Al-Sahab ,20957006,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, Al-Waha ,20628718,8/13/2023,Residential,apartment,1,421902,95.87,"4,401"
Eastern Region,Jubail, Alhambra ,20486688,7/26/2023,Residential,land,1,587670,587.67,"1,000"
Riyadh region,Riyadh,Al-Khair,20013098,5/24/2023,Residential,land,1,1000000,487.5,"2,051"
Eastern Region,Hafar Al-Batin, Al-Batin ,20132114,6/7/2023,Residential,land,1,100000,480.0,208
Makkah Region,Jeddah, alqarinia ,20248614,6/20/2023,Residential,land,1,400000,400.0,"1,000"
Makkah Region,Jeddah,abhar aljanubiaj,20774330,8/29/2023,Residential,apartment,1,1000000,429.33,"2,329"
Riyadh region,Riyadh,Arid,20314142,7/6/2023,Residential,land,1,155000,225.0,689
Riyadh region,Riyadh,Namar,20724273,8/23/2023,Residential,land,1,375000,500.0,750
Eastern Region,Dammam, Al-Shuala ,20912035,9/11/2023,Residential,land,1,1470000,600.0,"2,450"
Riyadh region,Riyadh,alnarjis,19781721,4/13/2023,Residential,land,1,1440000,300.0,"4,800"
Riyadh region,Riyadh,Rabwa,20615934,8/10/2023,Residential,land,1,1750000,600.0,"2,917"
Makkah Region,Jeddah, Al-Zahraa ,20515160,7/30/2023,Residential,apartment,1,970000,173.62,"5,587"
Riyadh region,Riyadh,Badr,20082327,6/1/2023,Residential,land,1,396000,440.0,900
Riyadh region,Riyadh,aldaar albayda,21008522,9/26/2023,Residential,land,1,535000,400.0,"1,338"
